Entity,Code,Year,Deaths - Drug use disorders - Sex: Both - Age: Under 5 (Number),Deaths - Drug use disorders - Sex: Both - Age: 70+ years (Number),Deaths - Drug use disorders - Sex: Both - Age: 15-49 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 50-69 years (Number),Deaths - Drug use disorders - Sex: Both - Age: 5-14 years (Number)
Afghanistan,AFG,1990,0,7,63,23,0
Afghanistan,AFG,1991,0,8,71,24,0
Afghanistan,AFG,1992,0,8,85,25,0
Afghanistan,AFG,1993,0,8,98,26,0
Afghanistan,AFG,1994,0,9,106,28,0
Afghanistan,AFG,1995,0,9,113,29,0
Afghanistan,AFG,1996,0,9,121,30,0
Afghanistan,AFG,1997,0,10,128,31,0
Afghanistan,AFG,1998,0,10,132,31,0
Afghanistan,AFG,1999,0,10,136,33,0
Afghanistan,AFG,2000,0,10,142,33,0
Afghanistan,AFG,2001,0,11,152,34,0
Afghanistan,AFG,2002,0,11,158,34,0
Afghanistan,AFG,2003,0,11,170,34,0
Afghanistan,AFG,2004,0,11,184,35,0
Afghanistan,AFG,2005,0,11,193,34,0
Afghanistan,AFG,2006,0,11,200,34,0
Afghanistan,AFG,2007,0,12,207,33,0
Afghanistan,AFG,2008,0,12,217,33,0
Afghanistan,AFG,2009,0,12,226,32,0
Afghanistan,AFG,2010,0,12,236,32,0
Afghanistan,AFG,2011,0,13,247,33,0
Afghanistan,AFG,2012,0,13,258,34,0
Afghanistan,AFG,2013,0,13,268,35,0
Afghanistan,AFG,2014,0,13,276,37,0
Afghanistan,AFG,2015,0,14,286,39,0
Afghanistan,AFG,2016,0,14,297,43,0
Afghanistan,AFG,2017,0,15,311,47,0
Afghanistan,AFG,2018,0,15,323,52,0
Afghanistan,AFG,2019,0,15,334,57,0
African Region (WHO),,1990,0,130,734,203,0
African Region (WHO),,1991,0,137,772,212,0
African Region (WHO),,1992,0,144,831,224,0
African Region (WHO),,1993,0,150,846,230,0
African Region (WHO),,1994,0,156,893,241,0
African Region (WHO),,1995,0,163,924,253,0
African Region (WHO),,1996,0,170,939,265,0
African Region (WHO),,1997,0,178,1000,283,0
African Region (WHO),,1998,0,183,1040,287,0
African Region (WHO),,1999,0,186,1074,284,0
African Region (WHO),,2000,0,190,1121,285,0
African Region (WHO),,2001,0,190,1137,280,0
African Region (WHO),,2002,0,193,1168,278,0
African Region (WHO),,2003,0,195,1195,279,0
African Region (WHO),,2004,0,199,1218,281,0
African Region (WHO),,2005,0,204,1233,284,0
African Region (WHO),,2006,0,210,1253,291,0
African Region (WHO),,2007,0,216,1272,297,0
African Region (WHO),,2008,0,226,1305,307,0
African Region (WHO),,2009,0,238,1349,320,0
African Region (WHO),,2010,0,246,1366,328,0
African Region (WHO),,2011,0,256,1405,340,0
African Region (WHO),,2012,0,265,1445,352,0
African Region (WHO),,2013,0,276,1500,364,0
African Region (WHO),,2014,0,285,1561,379,0
African Region (WHO),,2015,0,296,1607,394,0
African Region (WHO),,2016,0,308,1663,412,0
African Region (WHO),,2017,0,322,1732,429,0
African Region (WHO),,2018,0,338,1819,444,0
African Region (WHO),,2019,0,352,1888,462,0
Albania,ALB,1990,0,0,4,1,0
Albania,ALB,1991,0,1,6,1,0
Albania,ALB,1992,0,1,6,1,0
Albania,ALB,1993,0,1,8,2,0
Albania,ALB,1994,0,2,11,3,0
Albania,ALB,1995,0,2,12,3,0
Albania,ALB,1996,0,2,12,3,0
Albania,ALB,1997,0,2,12,3,0
Albania,ALB,1998,0,2,15,4,0
Albania,ALB,1999,0,2,13,3,0
Albania,ALB,2000,0,3,14,4,0
Albania,ALB,2001,0,4,17,5,0
Albania,ALB,2002,0,5,19,6,0
Albania,ALB,2003,0,5,19,7,0
Albania,ALB,2004,0,5,18,7,0
Albania,ALB,2005,0,4,14,5,0
Albania,ALB,2006,0,4,13,5,0
Albania,ALB,2007,0,4,14,5,0
Albania,ALB,2008,0,4,13,5,0
Albania,ALB,2009,0,4,11,4,0
Albania,ALB,2010,0,4,12,5,0
Albania,ALB,2011,0,4,13,5,0
Albania,ALB,2012,0,5,13,5,0
Albania,ALB,2013,0,5,13,6,0
Albania,ALB,2014,0,5,14,6,0
Albania,ALB,2015,0,6,14,6,0
Albania,ALB,2016,0,6,15,6,0
Albania,ALB,2017,0,6,15,7,0
Albania,ALB,2018,0,7,15,7,0
Albania,ALB,2019,0,7,15,7,0
Algeria,DZA,1990,0,14,135,22,0
Algeria,DZA,1991,0,15,140,24,0
Algeria,DZA,1992,0,16,150,26,0
Algeria,DZA,1993,0,17,161,28,0
Algeria,DZA,1994,0,18,176,29,0
Algeria,DZA,1995,0,19,190,30,0
Algeria,DZA,1996,0,20,205,32,0
Algeria,DZA,1997,0,21,220,33,0
Algeria,DZA,1998,0,22,233,35,0
Algeria,DZA,1999,0,24,249,37,0
Algeria,DZA,2000,0,25,262,39,0
Algeria,DZA,2001,0,26,274,42,0
Algeria,DZA,2002,0,27,283,44,0
Algeria,DZA,2003,0,27,281,46,0
Algeria,DZA,2004,0,29,287,49,0
Algeria,DZA,2005,0,30,293,51,0
Algeria,DZA,2006,0,31,296,53,0
Algeria,DZA,2007,0,32,300,54,0
Algeria,DZA,2008,0,33,303,56,0
Algeria,DZA,2009,0,34,307,58,0
Algeria,DZA,2010,0,35,311,60,0
Algeria,DZA,2011,0,36,320,62,0
Algeria,DZA,2012,0,38,326,65,0
Algeria,DZA,2013,0,39,334,68,0
Algeria,DZA,2014,0,41,342,71,0
Algeria,DZA,2015,0,42,348,74,0
Algeria,DZA,2016,0,44,348,79,0
Algeria,DZA,2017,0,45,355,84,0
Algeria,DZA,2018,0,48,373,88,0
Algeria,DZA,2019,0,50,383,92,0
American Samoa,ASM,1990,0,0,0,0,0
American Samoa,ASM,1991,0,0,0,0,0
American Samoa,ASM,1992,0,0,0,0,0
American Samoa,ASM,1993,0,0,0,0,0
American Samoa,ASM,1994,0,0,0,0,0
American Samoa,ASM,1995,0,0,0,0,0
American Samoa,ASM,1996,0,0,0,0,0
American Samoa,ASM,1997,0,0,0,0,0
American Samoa,ASM,1998,0,0,0,0,0
American Samoa,ASM,1999,0,0,0,0,0
American Samoa,ASM,2000,0,0,0,0,0
American Samoa,ASM,2001,0,0,0,0,0
American Samoa,ASM,2002,0,0,0,0,0
American Samoa,ASM,2003,0,0,0,0,0
American Samoa,ASM,2004,0,0,0,0,0
American Samoa,ASM,2005,0,0,0,0,0
American Samoa,ASM,2006,0,0,0,0,0
American Samoa,ASM,2007,0,0,0,0,0
American Samoa,ASM,2008,0,0,0,0,0
American Samoa,ASM,2009,0,0,0,0,0
American Samoa,ASM,2010,0,0,0,0,0
American Samoa,ASM,2011,0,0,0,0,0
American Samoa,ASM,2012,0,0,0,0,0
American Samoa,ASM,2013,0,0,0,0,0
American Samoa,ASM,2014,0,0,0,0,0
American Samoa,ASM,2015,0,0,0,0,0
American Samoa,ASM,2016,0,0,0,0,0
American Samoa,ASM,2017,0,0,0,0,0
American Samoa,ASM,2018,0,0,0,0,0
American Samoa,ASM,2019,0,0,0,0,0
Andorra,AND,1990,0,0,0,0,0
Andorra,AND,1991,0,0,0,0,0
Andorra,AND,1992,0,0,0,0,0
Andorra,AND,1993,0,0,0,0,0
Andorra,AND,1994,0,0,0,0,0
Andorra,AND,1995,0,0,0,0,0
Andorra,AND,1996,0,0,0,0,0
Andorra,AND,1997,0,0,0,0,0
Andorra,AND,1998,0,0,0,0,0
Andorra,AND,1999,0,0,0,0,0
Andorra,AND,2000,0,0,0,0,0
Andorra,AND,2001,0,0,0,0,0
Andorra,AND,2002,0,0,0,0,0
Andorra,AND,2003,0,0,0,0,0
Andorra,AND,2004,0,0,0,0,0
Andorra,AND,2005,0,0,0,0,0
Andorra,AND,2006,0,0,0,0,0
Andorra,AND,2007,0,0,0,0,0
Andorra,AND,2008,0,0,0,0,0
Andorra,AND,2009,0,0,0,0,0
Andorra,AND,2010,0,0,0,0,0
Andorra,AND,2011,0,0,0,0,0
Andorra,AND,2012,0,0,0,0,0
Andorra,AND,2013,0,0,0,0,0
Andorra,AND,2014,0,0,0,0,0
Andorra,AND,2015,0,0,0,0,0
Andorra,AND,2016,0,0,0,0,0
Andorra,AND,2017,0,0,0,0,0
Andorra,AND,2018,0,0,0,0,0
Andorra,AND,2019,0,0,0,0,0
Angola,AGO,1990,0,2,14,3,0
Angola,AGO,1991,0,2,15,3,0
Angola,AGO,1992,0,2,16,3,0
Angola,AGO,1993,0,2,17,3,0
Angola,AGO,1994,0,2,18,3,0
Angola,AGO,1995,0,2,18,4,0
Angola,AGO,1996,0,3,18,4,0
Angola,AGO,1997,0,3,18,4,0
Angola,AGO,1998,0,3,20,4,0
Angola,AGO,1999,0,3,22,4,0
Angola,AGO,2000,0,3,22,4,0
Angola,AGO,2001,0,3,23,4,0
Angola,AGO,2002,0,3,23,4,0
Angola,AGO,2003,0,3,24,4,0
Angola,AGO,2004,0,3,26,5,0
Angola,AGO,2005,0,4,26,5,0
Angola,AGO,2006,0,4,28,5,0
Angola,AGO,2007,0,4,29,5,0
Angola,AGO,2008,0,4,31,5,0
Angola,AGO,2009,0,4,33,5,0
Angola,AGO,2010,0,5,35,6,0
Angola,AGO,2011,0,5,37,6,0
Angola,AGO,2012,0,5,40,7,0
Angola,AGO,2013,0,6,42,7,0
Angola,AGO,2014,0,6,44,8,0
Angola,AGO,2015,0,6,47,8,0
Angola,AGO,2016,0,7,49,9,0
